Experience Gender Education PredictedSalary
12 0 1 79999,9
12 0 6 79999,9
1 1 15 79999,9
1 1 11 79999,7
12 1 1 79999,9
8 1 2 74925,0
2 0 9 74925,0
12 0 11 115952,4
10 0 3 74925,0
16 0 17 120854,1
7 0 9 74925,0
7 0 3 74925,0
3 0 20 79999,9
9 0 7 74925,0
7 1 4 74925,0
15 1 4 79999,9
11 1 14 116747,4
17 0 20 121598,5
19 1 19 122922,5
6 0 2 74925,0
16 1 16 120548,1
14 0 9 79999,7
20 0 19 122922,5
8 0 1 74925,0
9 1 20 119684,3
14 1 19 119281,5
5 1 13 117868,6
16 1 9 79999,7
14 1 20 119281,5
15 0 17 120080,9
5 0 14 79999,9
18 0 6 79999,9
16 0 9 79999,7
5 0 3 74925,0
4 1 12 96937,2
18 0 16 120548,1
6 1 19 121779,7
6 1 20 121779,7
17 1 0 79999,9
8 0 15 79999,9
6 0 2 74925,0
2 0 12 79999,7
4 1 4 74925,0
14 1 7 80000,0
2 1 2 74925,0
6 0 7 74925,0
2 0 0 74925,0
18 0 20 122311,1
11 1 5 79999,7
12 1 4 79999,9
13 1 14 118458,1
17 1 2 79999,9
13 0 6 80000,0
12 1 20 117612,8
15 0 15 119684,3
9 0 18 79999,9
6 1 8 74925,0
17 1 14 118790,2
15 0 11 115952,4
1 0 1 74925,0
17 0 18 121598,5
10 0 15 87649,2
18 1 9 79999,7
11 0 12 116747,4
15 0 15 119684,3
16 1 19 120854,1
16 0 15 119684,3
19 1 8 79999,7
12 1 4 79999,9
10 0 16 87649,2
19 1 7 80000,0
5 0 13 80000,0
8 0 14 79999,9
5 0 5 74925,0
10 1 19 117398,2
19 0 8 79999,7
5 1 1 74925,0
18 0 9 79999,7
3 1 9 74925,0
7 1 1 74925,0
5 0 15 79999,9
18 0 9 79999,7
6 0 11 79999,7
18 1 12 116922,0
12 1 8 79999,7
17 1 10 0,0
2 1 0 74925,0
18 0 9 79999,7
16 1 0 79999,9
3 0 19 79999,9
11 1 1 79999,7
17 1 6 79999,9
6 1 20 121779,7
15 1 0 79999,9
14 0 10 0,0
2 1 11 79999,7
10 1 14 117398,2
17 0 18 121598,5
17 1 7 80000,0
10 0 13 87649,2
16 0 18 120854,1
4 1 15 99768,6
18 0 5 79999,9
13 1 9 79999,7
8 1 8 74925,0
1 0 20 79999,9
7 1 9 74925,0
14 1 2 79999,9
11 1 3 79999,7
11 0 16 116747,4
13 0 7 80000,0
8 1 0 74925,0
4 1 9 74925,0
4 0 19 79999,9
2 0 7 74925,0
2 0 3 74925,0
7 0 10 0,0
6 1 11 115952,4
14 1 0 79999,9
20 0 15 119684,3
2 1 1 74925,0
7 1 7 74925,0
4 1 1 74925,0
6 1 4 74925,0
13 0 12 116922,0
11 0 6 79999,7
6 0 1 74925,0
1 1 1 74925,0
4 0 12 79999,7
8 1 12 116922,0
7 0 7 74925,0
3 0 4 74925,0
8 1 8 74925,0
14 1 10 0,0
5 0 16 79999,9
11 0 4 79999,7
19 1 14 118790,2
10 1 3 74925,0
16 0 9 79999,7
11 0 5 79999,7
17 1 14 118790,2
9 0 12 79999,7
1 1 20 79999,9
7 1 10 0,0
12 1 5 79999,9
19 0 4 80000,0
6 0 4 74925,0
16 0 19 120854,1
12 0 5 79999,9
14 1 20 119281,5
14 1 8 79999,7
5 0 5 74925,0
12 1 4 79999,9
11 1 18 116747,4
8 1 19 121779,7
10 0 17 87649,2
14 0 11 115952,4
17 0 2 79999,9
17 0 6 79999,9
14 0 5 79999,9
1 1 12 79999,7
5 1 16 119684,3
7 0 3 74925,0
19 1 6 79999,9
13 0 5 80000,0
19 0 10 0,0
6 1 8 74925,0
7 0 1 74925,0
20 1 8 79999,7
19 1 1 79999,9
10 1 15 117398,2
5 0 12 79999,7
3 1 15 79999,9
11 1 11 115952,4
18 0 11 115952,4
11 1 2 79999,7
13 0 8 79999,7
13 1 9 79999,7
4 0 18 79999,9
6 1 16 120548,1
8 1 4 74925,0
9 0 19 79999,9
6 1 4 74925,0
19 1 12 116922,0
15 0 0 79999,9
6 1 11 115952,4
2 1 12 79999,7
17 1 13 117868,6
16 0 3 79999,9
2 1 5 74925,0
20 0 14 118790,2
3 1 12 79999,7
5 0 4 74925,0
7 0 3 74925,0
15 1 4 79999,9
6 1 7 74925,0
2 0 13 80000,0
16 0 11 115952,4
9 1 20 119684,3
1 1 18 79999,9
7 0 18 79999,9
2 1 13 80000,0
19 0 20 122988,6
13 0 14 118458,1
5 1 19 119684,3
17 0 15 119684,3
1 0 9 74925,0
16 1 18 120854,1
12 0 0 79999,9
15 0 4 79999,9
